C7H8,TMA,VOC,CO2,HCHO,H2S,NH3,CH3SH,SO2,NO2,CO,label
0.006728856,0.0007650026,0.2183344,366.7911,0.06433052,0.1154843,0.0,0.0,0.008280928,0.2571184,0.8137039,1A
0.006728856,0.0007618119,0.2032528,369.3264,0.06999201,0.1154843,0.0,0.0,0.02318666,0.2536901,0.8274228,1A
0.006728856,0.0007632718,0.2183344,366.7911,0.07675916,0.1122313,0.0,0.0,0.0182181,0.2571184,0.8068445,1A
0.006728856,0.0007615443,0.2168031,366.7911,0.06999201,0.1154843,0.0,0.0,0.01490573,0.2571184,0.9028769,1A
0.006728856,0.0007598199,0.2168031,370.3987,0.06999201,0.1057251,0.0,0.0,0.0182181,0.2571184,0.8617204,1A
0.006728856,0.0007580986,0.2055245,369.3264,0.06660849,0.1008455,0.0,0.0,0.01987429,0.2536901,0.8854515,1A
0.006728856,0.0007580986,0.2175681,359.1851,0.06771621,0.1057251,0.0,0.0,0.01656192,0.2536901,0.8822986,1A
0.006728856,0.0007546652,0.2168031,357.7138,0.06433052,0.1045856,0.0,0.0,0.01868599,0.2571184,0.775628,1A
0.006728856,0.0007546652,0.2032528,359.1851,0.07110202,0.1024721,0.0,0.0,0.01987429,0.2571184,0.8685798,1A
0.006728856,0.0007529532,0.2183344,359.1851,0.07337565,0.1013304,0.0,0.0,0.01868599,0.2536901,0.8960176,1A
0.006728856,0.0007512446,0.2168031,359.1851,0.08014281,0.09759241,0.0,0.0,0.02153048,0.2571184,0.9060439,1A
0.006728856,0.0007512446,0.2040091,356.6497,0.06322485,0.1073516,0.0,0.0,0.01987429,0.2571184,0.8822986,1A
0.006728856,0.0007495389,0.2175681,356.6497,0.07337565,0.1024721,0.0,0.0,0.02484291,0.2583248,0.8068445,1A
0.006762916,0.0007478363,0.2062838,359.1851,0.07675916,0.1008455,0.0,0.0,0.02649909,0.2571184,0.8342822,1A
0.006728856,0.0007478363,0.2168031,359.1851,0.07787365,0.09108626,0.0,0.0,0.01987429,0.2571184,0.8891581,1A
0.006728856,0.0007447143,0.2175681,359.1851,0.06660849,0.09271277,0.0,0.0,0.02649909,0.2571184,0.9165958,1A
0.006762916,0.0007461369,0.2055245,360.2508,0.08014281,0.09433933,0.0,0.0,0.02153048,0.2571184,0.8754393,1A
0.006748305,0.0007444404,0.2055245,359.1851,0.08014281,0.09108626,0.0,0.0,0.01987429,0.2605465,0.8754393,1A
0.006728856,0.0007444404,0.2183344,360.2508,0.08125947,0.09271277,0.0,0.0,0.0182181,0.2571184,0.9028769,1A
0.006762916,0.0007427472,0.2040091,359.1851,0.08125947,0.09223383,0.0,0.0,0.01987429,0.2583248,0.848001,1A
0.006762916,0.0007410568,0.2191015,359.1851,0.07787365,0.08783314,0.0,0.0,0.02981147,0.2605465,0.8960176,1A
0.006762916,0.0007410568,0.2040091,359.1851,0.07337565,0.0894597,0.0,0.0,0.0182181,0.2571184,0.9234552,1A
0.006762916,0.0007393698,0.2047664,359.1851,0.05984121,0.08830953,0.0,0.0,0.0182181,0.2605465,0.9714717,1A
0.006762916,0.0007393698,0.2168031,359.1851,0.07448784,0.09481996,0.0,0.0,0.02697243,0.2605465,0.9851906,1A
0.006762916,0.0007393698,0.2032528,356.6497,0.07787365,0.09596585,0.0,0.0,0.02815528,0.2571184,0.944034,1A
